"","Name","Age","Nationality","Overall","Potential","Club","Value","Wage","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Position","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"4549","O. Coulibaly",28,"Mali",71,71,"Panathinaikos FC",1900000,1000,1,1,2,3,0,182.88,74.844,70,44,66,70,20,63,55,28,59,72,77,78,65,59,62,60,75,79,72,52,77,60,57,52,27,62,68,73,73,9,6,10,6,6
"4550","Alex Alegr¨ªa",25,"Spain",71,74,"Rayo Vallecano",3e+06,15000,1,1,3,3,1,187.96,82.1016,48,70,71,65,76,71,66,22,39,77,48,54,65,64,39,72,69,64,78,66,53,19,76,48,63,68,45,20,25,13,8,13,13,6
"4551","C. Adjapong",20,"Italy",71,81,"Sassuolo",3800000,21000,1,1,3,4,1,180.34,73.9368,74,51,64,70,40,75,44,39,65,77,75,66,69,74,66,50,65,56,55,52,73,71,74,60,42,71,69,73,74,13,9,10,5,8
"4552","Dorado",35,"Spain",71,71,"Rayo Vallecano",550000,8000,0,1,3,2,0,180.34,69.8544,41,44,73,72,30,40,49,21,61,51,34,34,43,70,60,40,68,33,71,19,69,71,39,59,31,57,79,74,64,12,15,13,14,10
"4553","J. Walters",34,"Republic of Ireland",71,71,"Ipswich Town",1200000,33000,1,2,3,2,1,182.88,78.9264,73,72,74,71,66,70,64,56,63,71,56,53,65,74,67,74,73,52,72,69,80,57,72,69,72,73,37,58,49,8,14,7,10,6
"4554","A. De Sart",21,"Belgium",71,78,"Sint-Truidense VV",3300000,6000,1,1,3,3,0,180.34,67.1328,69,59,67,72,67,67,73,70,73,71,62,64,73,67,71,72,63,79,58,74,59,69,66,71,58,64,67,65,61,14,12,12,15,10
"4555","Luisinho Conradi",30,"Brazil",71,71,"Atl¨¦tico Mineiro",1700000,19000,0,1,3,3,0,175.26,78.0192,72,54,52,66,59,75,74,51,68,76,77,68,72,72,72,62,68,76,70,53,62,59,68,59,55,65,77,71,69,11,10,14,9,7
"4556","B. <U+00D6>zcan",20,"Turkey",71,78,"VfB Stuttgart",3400000,15000,1,1,4,3,1,180.34,78.9264,67,56,43,74,53,76,55,52,65,75,67,65,77,70,75,54,56,66,67,43,52,29,62,75,51,65,31,34,46,11,12,11,13,13
"4557","P. Bamford",24,"England",71,76,"Leeds United",3200000,25000,0,1,3,3,1,185.42,71.2152,58,72,67,67,58,70,67,59,60,74,73,72,70,67,62,68,62,73,66,62,56,54,73,62,69,69,28,23,18,9,7,11,6,16
"4558","R. L¨®pez",25,"Mexico",71,76,"Pachuca",2600000,16000,1,1,3,3,0,185.42,73.9368,79,54,66,72,60,72,75,76,70,68,75,78,68,62,53,74,59,80,70,74,51,64,68,64,68,61,59,66,71,10,12,9,6,10
"4559","F. Monteseir¨ªn",23,"Argentina",71,78,"Club Atl¨¦tico Lan¨²s",2800000,9000,1,1,3,2,0,182.88,82.1016,44,31,71,60,34,60,44,28,51,63,52,57,43,59,55,63,77,63,80,38,66,70,31,41,40,52,72,73,71,14,13,12,14,7
"4560","A. Calabresi",22,"Italy",71,79,"Bologna",3e+06,15000,1,1,3,2,0,185.42,74.844,52,22,65,48,31,44,31,34,42,48,54,69,55,67,63,45,68,66,78,29,60,72,32,42,44,64,74,76,74,6,8,12,12,13
"4561","J. L¨¦a Siliki",22,"France",71,81,"Stade Rennais FC",3800000,17000,0,1,2,3,1,182.88,69.8544,64,68,64,75,72,73,70,58,69,74,71,65,71,68,56,74,50,72,67,74,65,66,63,65,64,64,71,68,65,10,12,12,11,12
"4562","J. De Sart",23,"Belgium",71,76,"KV Kortrijk",2700000,8000,1,1,3,3,0,185.42,73.0296,66,53,64,72,69,65,69,67,73,68,57,60,64,68,71,75,58,80,64,71,74,71,45,71,55,73,68,68,67,12,14,12,8,8
"4563","M. Sylla",24,"Senegal",71,75,"SV Zulte-Waregem",3100000,13000,1,1,4,3,1,175.26,74.844,57,70,72,68,62,71,65,42,36,70,75,77,71,66,61,72,75,67,75,69,65,36,68,71,62,68,21,42,37,9,16,9,8,11
"4564","K. Boli",27,"France",71,74,"Guizhou Hengfeng FC",2400000,9000,1,1,3,2,0,182.88,76.2048,54,31,66,52,28,34,30,41,48,54,70,68,65,67,59,41,67,72,80,40,72,75,24,40,40,58,68,74,72,10,11,10,7,13
"4565","D. Avdijaj",21,"Kosovo",71,78,"Willem II",3400000,6000,1,1,4,3,1,172.72,69.8544,68,70,44,64,70,75,65,49,62,74,76,71,84,66,81,76,62,63,46,76,68,26,66,70,62,70,19,23,19,14,13,9,9,8
"4566","Nauzet",33,"Spain",71,71,"UD Las Palmas",1200000,6000,1,1,2,1,0,190.5,87.0912,14,17,15,21,19,16,17,13,20,22,46,35,30,69,33,12,53,35,80,17,19,18,17,15,21,51,10,13,14,69,77,61,67,68
"4567","G. Molins",29,"Sweden",71,71,"Malm<U+00F6> FF",2400000,6000,1,1,3,3,1,185.42,83.0088,63,69,56,68,67,72,65,60,56,73,69,72,67,70,62,76,34,66,81,69,60,33,74,71,70,74,52,42,37,6,15,16,7,6
"4568","M. Hector",25,"Jamaica",71,74,"Sheffield Wednesday",2500000,16000,1,1,3,2,0,193.04,82.1016,35,40,73,62,31,60,32,30,58,59,57,70,54,63,44,68,67,66,79,44,79,68,49,52,51,61,67,75,67,13,12,11,12,13
"4569","S. Andersson",26,"Sweden",71,72,"1. FC Union Berlin",2800000,21000,1,1,2,2,1,190.5,84.8232,28,73,79,60,65,59,38,42,31,58,66,76,57,69,55,69,62,77,78,53,71,22,76,59,60,61,19,17,20,10,9,14,15,6
"4570","F. Erpen",35,"Argentina",71,71,"San Mart¨ªn de San Juan",550000,7000,1,1,3,2,0,180.34,78.0192,53,48,74,62,47,46,39,49,57,63,50,34,43,65,50,70,76,67,80,60,74,68,23,51,47,67,68,70,69,16,12,12,15,12
"4571","F. Meza",28,"Argentina",71,73,"Colo-Colo",2200000,6000,1,1,2,2,0,175.26,73.9368,60,21,74,64,32,59,30,34,61,64,62,65,69,67,74,66,88,70,72,20,60,68,33,29,46,66,70,73,71,14,6,8,11,15
"4572","D. Lemos",29,"Argentina",71,71,"Patronato",1800000,10000,1,1,3,2,0,177.8,82.1016,56,37,72,64,31,60,60,53,66,62,62,68,66,74,57,46,77,87,75,36,84,73,50,56,51,67,70,72,74,8,16,12,15,8
"4573","Z. Kuzmanovi<U+0107>",30,"Serbia",71,71,"FC Basel 1893",2200000,17000,1,2,3,3,1,185.42,79.8336,63,58,67,70,58,64,65,68,74,71,37,34,52,70,59,78,68,62,78,75,68,72,60,75,69,65,72,69,69,7,13,9,7,13
"4574","Lisandro Semedo",22,"Portugal",71,77,"Fortuna Sittard",3200000,6000,1,1,3,4,1,175.26,73.9368,69,69,53,64,65,73,61,43,62,79,82,84,78,64,75,72,59,70,70,66,49,23,63,63,41,64,35,23,21,10,8,13,5,8
"4575","J. Prior",22,"France",71,77,"FC Girondins de Bordeaux",2400000,15000,1,1,2,1,0,187.96,86.184,13,16,14,35,17,18,16,16,37,22,48,55,35,65,51,20,61,30,78,17,40,25,15,40,14,58,10,13,12,72,69,73,69,72
"4576","V. Salazar",25,"Argentina",71,76,"San Lorenzo de Almagro",2600000,11000,1,1,2,3,0,175.26,67.1328,59,47,52,65,35,70,47,35,59,63,91,91,88,64,80,55,69,85,63,49,71,64,58,43,36,55,63,70,71,13,16,8,7,13
"4577","A. Diomande",28,"Norway",71,71,"Los Angeles FC",2400000,7000,1,1,3,3,1,180.34,81.1944,45,71,68,56,64,65,56,35,43,68,78,76,78,67,70,72,83,72,86,63,68,33,68,53,66,62,27,20,16,12,7,10,13,14
"4578","A. Niane",25,"Mali",71,73,"Sporting de Charleroi",2900000,10000,1,1,3,3,1,182.88,69.8544,49,71,68,69,66,68,54,44,38,67,73,71,74,65,66,70,80,69,76,66,55,12,74,50,63,68,13,14,15,8,6,11,14,8
"4579","Stephen Eust¨¢quio",21,"Portugal",71,83,"GD Chaves",3800000,5000,1,1,3,2,0,177.8,68.04,70,48,55,76,50,71,65,51,73,72,66,63,70,68,73,65,76,72,65,62,64,72,57,70,64,75,67,70,62,14,12,15,11,5
"4580","W. Montoya",24,"Argentina",71,74,"Cruz Azul",3e+06,14000,1,1,3,3,1,175.26,73.0296,66,54,46,64,48,78,65,52,65,69,79,78,76,66,72,62,61,65,59,77,53,28,68,74,51,60,39,40,38,9,10,12,15,13
"4581","Kadu",31,"Brazil",71,71,"G<U+00F6>ztepe SK",1600000,14000,1,1,2,2,0,187.96,79.8336,28,19,72,59,23,26,27,37,35,49,54,54,66,65,58,47,76,58,78,27,71,74,31,25,42,65,71,72,72,8,9,14,6,9
"4582","D. Bentley",24,"England",71,76,"Brentford",2300000,16000,1,1,3,1,0,187.96,72.1224,18,11,11,44,13,17,12,12,23,30,46,43,51,63,41,38,74,31,68,13,24,22,12,47,22,55,30,11,13,73,66,63,71,74
"4583","B. Dr<U+0105>gowski",20,"Poland",71,82,"Fiorentina",3200000,15000,1,1,2,1,0,187.96,73.9368,19,12,13,35,12,20,12,20,32,18,46,42,33,72,54,18,57,34,56,18,19,21,15,62,21,65,20,16,16,68,68,70,71,74
"4584","G. Mancini",22,"Italy",71,80,"Atalanta",3200000,13000,1,1,3,2,0,190.5,77.112,34,32,72,53,40,41,38,34,40,53,52,52,37,60,57,51,68,53,76,34,76,71,32,39,47,55,72,75,72,13,12,8,6,8
"4585","T. Clarke",30,"England",71,71,"Preston North End",1800000,9000,1,1,3,2,0,180.34,77.112,40,21,68,42,35,26,25,21,41,44,50,57,60,63,67,55,91,66,80,27,85,70,29,34,16,57,74,71,68,14,8,7,12,10
"4586","F. Boeckx",31,"Belgium",71,71,"RSC Anderlecht",1400000,10000,1,1,3,1,0,180.34,79.8336,15,15,13,37,12,15,13,19,37,34,32,36,44,63,47,34,56,24,73,13,26,26,14,56,26,66,23,10,17,69,71,78,70,71
"4587","Adryan",23,"Brazil",71,77,"FC Sion",3200000,17000,1,1,4,4,1,175.26,69.8544,62,62,44,69,60,76,73,71,68,75,78,76,82,66,76,62,61,67,60,63,39,38,66,73,71,68,50,32,24,5,5,5,5,5
"4588","M. Gr¨¹ttner",32,"Germany",71,71," SSV Jahn Regensburg",1900000,9000,1,1,4,2,1,185.42,83.916,42,74,72,62,68,62,50,31,33,68,64,66,67,67,67,73,82,88,83,62,76,22,74,54,63,66,41,35,31,15,16,11,10,11
"4589","J. Cevallos",23,"Ecuador",71,76,"Sporting Lokeren",3200000,9000,1,1,4,3,1,185.42,76.2048,67,51,56,71,74,70,73,72,68,73,68,72,65,67,60,76,63,74,68,71,74,40,67,78,66,69,34,29,29,5,5,7,5,4
"4590","L. Acosta",23,"Argentina",71,79,"Belgrano de C¨®rdoba",2600000,6000,1,1,3,1,0,187.96,83.916,12,17,19,25,16,14,18,19,22,15,65,62,62,66,62,25,68,44,77,13,20,28,17,26,25,3,16,21,21,70,72,67,67,73
"4591","M. Guendouzi",19,"France",71,84,"Arsenal",4e+06,20000,1,1,3,3,0,185.42,68.04,67,56,64,74,49,69,68,55,75,68,66,60,64,67,65,69,66,69,63,65,73,71,51,73,49,73,62,69,64,6,13,6,13,11
"4592","F. Nita",30,"Romania",71,71,"Sparta Praha",1500000,1000,1,1,2,1,0,182.88,73.0296,14,8,13,23,5,18,10,13,22,11,25,31,28,64,64,21,61,36,79,5,20,8,4,39,11,62,14,13,14,71,67,58,76,72
"4593","P. Ebert",31,"Germany",71,71,"SG Dynamo Dresden",2100000,13000,1,1,4,3,1,175.26,78.0192,80,69,58,74,57,69,77,76,77,71,63,64,77,72,77,80,64,66,68,70,68,67,67,69,59,58,61,55,49,14,6,9,15,8
"4594","D. Marshall",33,"Scotland",71,71,"Hull City",1200000,13000,1,1,3,1,0,190.5,83.0088,11,19,14,21,15,14,19,14,29,21,48,50,33,70,41,22,63,34,63,12,41,24,13,42,11,67,13,14,13,70,69,66,72,71
"4595","K. Peterson",23,"Sweden",71,77,"Heracles Almelo",3200000,6000,1,1,5,4,1,185.42,78.9264,59,67,64,67,66,78,73,61,59,74,78,77,81,64,69,74,74,67,64,72,45,37,66,66,71,68,30,24,32,16,15,9,6,11
"4596","S. Lammers",21,"Netherlands",71,80,"SC Heerenveen",3700000,8000,0,1,5,3,1,187.96,77.112,46,72,72,62,59,72,65,40,43,73,69,69,73,65,66,66,71,73,75,64,49,36,71,65,68,72,37,21,19,13,12,5,8,15
"4597","A. King",29,"Wales",71,71,"Leicester City",2300000,38000,1,1,3,3,1,182.88,78.9264,59,68,73,72,67,69,64,59,67,69,66,62,69,71,60,72,75,71,73,69,63,69,72,69,60,69,68,70,67,8,6,7,10,6
"4598","P. Mwene",24,"Austria",71,78,"1. FSV Mainz 05",2800000,13000,1,1,4,3,0,172.72,68.04,70,44,37,66,34,69,53,46,53,67,85,78,84,64,91,50,72,91,52,39,59,65,57,48,42,64,65,64,74,12,9,11,9,7
"4599","Andrei Girotto",26,"Brazil",71,73,"FC Nantes",2400000,15000,1,1,2,2,0,185.42,78.9264,65,57,70,75,51,67,63,43,66,71,60,61,61,51,57,74,64,68,65,76,77,75,60,51,55,56,69,75,70,11,7,9,6,12
"4600","Danilo Silva",31,"Brazil",71,71,"Los Angeles FC",1600000,15000,1,1,4,2,0,185.42,69.8544,75,42,64,69,28,58,37,40,60,67,72,76,55,69,57,59,61,74,74,37,70,70,42,59,46,60,63,71,80,11,7,7,11,15
"4601","B. Kuscevic",22,"Chile",71,81,"Universidad Cat¨®lica",3300000,6000,1,1,3,2,0,185.42,79.8336,43,35,70,65,38,56,35,43,62,54,71,66,54,64,65,55,76,68,79,38,71,67,56,42,39,68,70,71,70,13,9,7,11,8
"4602","D. Sall¨®i",21,"Hungary",71,80,"Sporting Kansas City",3700000,5000,1,1,3,3,1,185.42,68.04,64,75,63,69,65,69,69,55,63,72,78,78,71,72,68,73,65,79,70,69,65,27,66,65,69,70,40,40,28,11,6,6,8,9
"4603","Ukra",30,"Portugal",71,71,"Santa Clara",2200000,5000,1,1,4,3,1,175.26,73.9368,71,64,61,67,68,75,77,72,66,72,75,77,77,70,73,75,80,66,61,66,65,30,70,64,72,65,21,22,25,16,8,6,16,10
"4604","B. Acosta",31,"Costa Rica",71,71,"SK Brann",1600000,4000,1,1,3,2,0,182.88,92.0808,29,35,68,56,48,45,39,34,60,60,51,48,55,63,59,64,77,71,93,53,82,66,34,32,37,66,70,70,67,12,6,7,12,14
"4605","Tramontinaldo",34,"Brazil",71,71,"Atl¨¦tico Paranaense",675000,9000,1,1,3,2,0,175.26,71.2152,73,45,69,74,55,61,61,62,71,72,63,71,77,71,79,53,55,63,54,51,54,54,51,61,63,64,74,77,75,14,8,7,8,7
"4606","S. Hern¨¢ndez",31,"Colombia",71,71,"Junior FC",2100000,3000,1,1,4,3,1,177.8,73.9368,59,62,47,74,64,69,66,65,70,72,59,71,67,65,66,62,59,67,67,71,22,58,65,78,55,69,48,59,52,14,12,5,9,11
"4607","L. Lacroix",26,"Switzerland",71,76,"Hamburger SV",2600000,17000,1,1,3,2,0,198.12,92.0808,52,35,73,68,38,52,55,50,66,60,35,34,34,63,32,63,65,74,88,51,62,66,37,48,55,67,67,76,71,9,9,15,15,11
"4608","A. Godoy",28,"Panama",71,71,"San Jose Earthquakes",2400000,6000,0,1,3,3,1,182.88,74.844,42,59,51,79,31,69,48,38,77,69,47,47,64,70,65,73,63,78,71,54,82,67,56,62,36,72,69,65,61,8,15,14,9,6
"4609","N. McGinn",30,"Northern Ireland",71,71,"Aberdeen",2200000,6000,1,1,5,3,1,177.8,73.0296,67,67,62,63,61,72,71,73,53,72,83,87,83,66,86,67,58,82,59,61,53,48,68,68,67,69,44,13,15,10,15,6,15,13
"4610","T. Boyd",23,"New Zealand",71,76,"Vit¨®ria Guimar<U+00E3>es",3200000,6000,1,1,3,3,1,180.34,66.2256,68,66,44,64,43,76,74,40,41,72,84,82,78,73,77,70,59,73,66,64,30,12,68,58,51,64,20,14,12,8,7,14,14,7
"4611","M. Eikrem",27,"Norway",71,71,"Molde FK",2400000,6000,1,1,4,3,1,182.88,68.9472,77,67,44,76,75,69,78,72,76,71,46,64,88,70,68,68,29,70,47,70,46,44,67,77,61,78,43,48,61,12,9,10,8,15
"4612","Kang Hyeon Mu",23,"Korea Republic",71,75,"Pohang Steelers",2200000,4000,1,1,3,1,0,185.42,78.0192,14,16,19,29,12,20,19,19,22,10,42,47,32,69,56,20,50,27,32,13,25,23,15,64,25,50,23,20,15,71,66,63,69,74
"4613","H. Toledo",22,"Argentina",71,76,"Argentinos Juniors",3200000,9000,1,1,3,3,1,177.8,72.1224,62,71,59,68,66,75,72,62,67,73,77,76,75,70,69,67,69,66,62,71,52,60,63,69,58,65,35,44,45,15,14,7,7,10
"4614","M. Lacen",34,"Algeria",71,71,"M¨¢laga CF",725000,7000,0,2,3,3,0,175.26,73.9368,59,49,59,80,58,67,80,70,76,72,52,50,74,67,79,70,76,64,69,64,80,67,59,66,59,68,66,65,59,16,7,11,12,13
"4615","E. Adu",27,"Ghana",71,71,"AIK",2400000,7000,1,1,3,3,1,177.8,67.1328,58,31,35,73,31,66,67,55,74,79,65,37,90,75,83,44,63,72,57,49,36,72,53,73,56,78,66,72,53,15,9,6,9,13
"4616","L. Antei",26,"Italy",71,74,"Benevento",2500000,4000,1,1,2,2,0,187.96,77.112,25,16,70,52,20,40,46,26,53,55,53,52,47,70,41,39,70,58,70,36,76,70,23,30,47,62,72,75,73,14,11,10,11,11
"4617","Adriano",30,"Brazil",71,71,"Jeonbuk Hyundai Motors",2300000,9000,1,2,3,3,1,170.18,63.9576,47,74,66,62,73,70,50,69,49,70,72,71,70,72,72,68,69,65,59,67,49,29,73,53,71,73,34,27,32,14,11,7,7,14
"4618","N. Foor",26,"Netherlands",71,73,"Vitesse",2800000,10000,0,1,5,3,1,172.72,66.2256,67,68,40,69,64,72,75,63,63,72,82,75,88,68,76,70,71,83,38,72,75,72,66,72,56,68,68,58,50,14,12,15,6,8
"4619","C. Quintana",30,"Argentina",71,71,"Club Atl¨¦tico Talleres",1800000,10000,0,1,3,2,0,190.5,83.916,35,24,75,67,31,42,30,33,63,62,50,51,47,57,43,52,70,68,84,27,68,71,36,28,45,50,69,68,67,8,12,7,12,12
"4620","<U+00C2>ngelo Neto",26,"Brazil",71,71,"Moreirense FC",2500000,5000,1,1,2,3,1,180.34,74.844,54,60,41,72,61,72,59,66,71,74,66,60,68,70,66,75,60,82,67,57,83,64,66,67,59,71,64,65,59,13,9,13,14,12
"4621","A. Tinnerholm",27,"Sweden",71,72,"New York City FC",2200000,5000,1,1,3,3,0,175.26,74.844,62,49,25,67,58,66,62,42,62,65,69,84,72,74,61,52,58,92,69,45,77,72,60,65,35,67,72,70,68,9,15,11,13,16
"4622","V. Verre",24,"Italy",71,76,"Perugia",3100000,18000,1,1,4,3,1,180.34,69.8544,57,51,53,75,58,70,57,63,68,73,70,67,73,76,75,73,49,72,66,68,59,58,65,68,55,69,50,61,55,5,13,9,8,11
"4623","I. Provedel",24,"Italy",71,77,"Empoli",2400000,6000,1,1,2,1,0,193.04,83.916,21,17,17,29,14,16,13,13,23,18,44,40,38,64,44,17,56,28,56,20,27,22,16,48,22,58,22,22,21,72,68,62,70,74
"4624","R. Herrera",29,"Uruguay",71,71,"Pachuca",1800000,18000,1,1,3,2,0,187.96,83.0088,36,35,67,59,37,47,40,37,50,43,66,68,45,63,41,43,60,55,88,39,78,68,32,39,59,59,70,74,69,9,8,5,8,11
"4625","J. F¨¦ret",35,"France",71,71,"AJ Auxerre",1e+06,4000,1,2,4,3,1,187.96,76.2048,72,67,60,72,60,69,72,70,73,73,47,42,62,72,63,69,60,68,67,69,58,57,73,73,70,70,56,55,50,12,16,10,15,8
"4626","J. Attamah",24,"Ghana",71,74,"Medipol Ba<U+015F>ak<U+015F>ehir FK",2500000,12000,1,1,2,2,0,180.34,79.8336,33,27,66,69,60,51,36,32,66,55,70,69,58,65,64,69,78,77,78,61,59,70,32,67,42,60,68,76,69,6,6,13,9,12
"4627","Bremer",21,"Brazil",71,80,"Torino",3200000,16000,1,1,2,2,0,182.88,79.8336,34,35,75,66,33,55,28,20,54,60,64,67,62,68,59,49,75,60,78,21,72,70,28,36,43,64,68,70,69,13,15,13,5,6
"4628","Dorca",35,"Spain",71,71,"AD Alcorc¨®n",550000,5000,0,1,3,2,0,182.88,77.112,67,56,61,69,34,58,46,41,66,70,49,29,64,67,58,71,70,73,81,65,77,74,51,66,51,80,67,69,59,6,6,9,12,11
"4629","Defendi",32,"Brazil",71,71,"CD Aves",1400000,8000,0,1,3,2,0,190.5,83.0088,32,26,77,59,24,38,28,36,51,61,39,36,49,68,44,35,56,51,81,32,72,73,32,45,33,66,70,71,62,10,6,6,13,13
"4630","Jonas",26,"Brazil",71,72,"Al Ittihad",2300000,21000,1,1,2,2,0,185.42,82.1016,46,35,56,74,39,54,48,49,58,60,60,61,54,75,61,73,70,72,74,67,87,77,37,42,49,59,70,75,68,8,12,8,15,10
"4631","P. Armero",31,"Colombia",71,71,"Am¨¦rica de Cali",1600000,2000,0,2,2,4,0,175.26,73.0296,70,52,52,71,63,71,72,62,69,70,84,83,82,68,80,87,76,80,69,73,70,68,68,62,66,72,58,69,68,7,11,15,7,6
"4632","H. Van Der Bruggen",25,"Belgium",71,74,"KV Kortrijk",2900000,9000,1,1,4,3,1,180.34,73.9368,67,54,60,72,63,64,68,65,71,71,57,54,69,69,67,73,58,78,63,68,66,71,68,72,58,73,66,64,63,13,14,14,16,8
"4633","L. Garritano",24,"Italy",71,76,"Cosenza",3200000,11000,1,1,3,4,1,172.72,67.1328,64,64,54,65,66,75,62,50,58,76,88,89,87,61,88,66,72,68,54,65,47,34,64,55,65,72,53,37,42,13,14,9,8,14
"4634","K. Balanta",21,"Colombia",71,83,"Deportivo Cali",3800000,2000,1,1,3,2,0,177.8,73.0296,38,42,70,69,36,58,36,37,71,70,68,66,73,73,64,64,78,85,75,58,81,66,60,58,43,57,73,69,57,11,11,9,6,14
"4635","Silvosinho",34,"Brazil",71,71,"Santos",675000,11000,1,1,3,2,0,177.8,73.0296,75,46,75,69,42,43,43,68,63,76,76,59,60,71,75,65,69,76,60,64,72,62,51,45,63,68,72,63,76,7,8,10,12,7
"4636","Tony Muttinho",34,"Brazil",71,71,"Paran¨¢",675000,13000,1,1,3,2,0,182.88,79.8336,67,45,66,72,51,61,53,45,71,67,67,73,71,67,57,48,51,73,77,46,65,66,59,51,61,63,71,73,72,8,8,7,12,8
"4637","D. Petratos",25,"Australia",71,74,"Newcastle Jets",3e+06,4000,1,1,4,3,1,175.26,72.1224,63,65,41,63,57,69,76,70,64,72,80,83,85,65,74,78,45,85,75,76,70,45,70,69,62,66,44,55,45,10,11,9,8,14
"4638","Manu Barreiro",31,"Spain",71,71,"Gimn¨¤stic de Tarragona",2100000,7000,1,1,2,3,1,190.5,81.1944,36,70,74,69,72,68,62,69,50,74,52,55,69,66,69,69,67,70,85,65,56,33,77,56,70,66,32,18,20,6,9,6,13,9
"4639","R. K<U+00F6>se",30,"Turkey",71,71,"Kasimpa<U+015F>a SK",1500000,7000,1,1,3,1,0,193.04,88.9056,22,11,15,42,15,20,15,12,34,19,35,33,34,54,61,25,59,41,58,20,20,16,11,20,23,54,11,20,18,74,67,57,74,75
"4640","Oier",32,"Spain",71,71,"CA Osasuna",1400000,7000,1,1,2,2,0,177.8,72.1224,64,61,64,68,44,64,61,45,65,68,72,74,70,69,73,64,83,79,75,62,78,71,69,73,56,61,68,69,67,10,7,6,6,5
"4641","N. Rimando",39,"United States",71,71,"Real Salt Lake",160000,3000,1,1,4,1,0,177.8,83.0088,24,17,13,39,12,16,20,24,39,37,45,46,52,66,55,25,64,31,60,15,31,11,17,56,35,51,20,12,13,71,69,69,70,73
"4642","J. Arzura",25,"Argentina",71,75,"UD Almer¨ªa",2600000,12000,1,1,3,2,0,175.26,71.2152,66,39,56,66,37,58,45,46,67,64,71,70,71,67,77,63,83,88,74,58,77,72,32,59,48,63,67,71,70,12,16,13,15,10
"4643","S. Davis",25,"United States",71,76,"New York Red Bulls",3100000,6000,1,1,4,3,0,182.88,74.844,64,59,63,75,54,69,70,67,71,73,69,70,71,66,70,65,67,79,71,60,65,62,62,68,58,71,67,66,62,8,9,9,9,12
"4644","Nacho Vidal",23,"Spain",71,78,"CA Osasuna",2800000,6000,1,1,3,3,0,180.34,73.0296,72,60,62,71,39,68,70,32,65,70,76,76,69,70,70,59,66,75,66,49,59,66,61,59,36,68,58,70,74,8,8,7,11,9
"4645","M. Samudio",31,"Paraguay",71,71,"Quer¨¦taro",1600000,7000,0,1,3,3,0,172.72,73.9368,70,51,67,67,50,70,69,60,56,71,75,78,61,69,67,76,76,79,80,67,70,62,64,57,54,69,64,68,70,12,12,15,7,10
"4646","M. Martin",30,"France",71,71,"Stade de Reims",2200000,12000,1,2,4,3,1,170.18,68.04,69,61,52,72,63,69,74,73,72,73,64,64,75,69,78,70,33,34,55,67,63,68,71,75,61,71,38,59,35,16,6,15,12,13
"4647","F. Cubero",39,"Argentina",71,71,"V¨¦lez Sarsfield",160000,6000,1,1,2,2,0,175.26,72.1224,64,47,68,66,58,60,48,48,63,68,52,47,65,75,73,57,71,38,68,59,79,71,54,65,65,68,75,69,70,11,8,16,9,9
"4648","R. Baca",28,"Mexico",71,71,"Cruz Azul",2400000,17000,1,1,3,3,0,170.18,64.8648,63,57,53,72,54,68,66,58,70,70,77,79,71,72,75,61,52,89,64,50,60,71,64,69,58,75,43,70,69,13,14,7,14,13
"4649","Ivo Pinto",28,"Portugal",71,71,"Norwich City",1900000,17000,1,1,3,3,0,182.88,69.8544,68,38,57,66,44,68,59,55,61,65,81,83,75,70,63,61,67,76,70,49,69,66,62,59,44,64,68,71,69,10,11,14,12,16
"4650","S. Doukara",26,"France",71,72,"Antalyaspor",2800000,13000,1,1,3,3,1,185.42,84.8232,58,73,55,70,64,75,65,49,55,70,64,71,47,67,48,75,39,69,85,62,45,20,73,69,61,75,25,23,20,8,16,11,13,6
"4651","Y. Shakhov",27,"Ukraine",71,71,"PAOK",2500000,1000,1,1,4,3,1,187.96,82.1016,47,70,65,70,57,72,68,52,66,73,70,73,66,66,47,74,58,65,75,66,67,53,66,71,48,70,61,60,59,7,12,9,14,7
"4652","O. <U+00C7>ek",27,"Turkey",71,72,"Kasimpa<U+015F>a SK",2200000,9000,0,1,2,3,0,172.72,69.8544,75,61,60,70,56,70,73,72,71,73,76,78,78,71,78,70,70,78,59,68,68,61,68,67,52,61,59,70,69,9,15,11,9,9
"4653","O. Zinchenko",21,"Ukraine",71,81,"Manchester City",3300000,38000,0,1,3,3,0,175.26,63.9576,79,59,59,77,60,76,78,74,76,76,73,64,77,73,79,76,66,69,52,70,67,70,69,78,59,67,68,70,66,15,11,13,11,11
"4654","S. Limbombe",27,"Belgium",71,71,"KAA Gent",2500000,15000,1,1,4,3,1,167.64,73.9368,68,64,43,65,64,73,70,67,57,69,91,86,90,66,94,75,91,68,66,61,35,26,69,69,67,70,30,33,31,7,13,11,13,9
"4655","K. Galanopoulos",20,"Greece",71,84,"AEK Athens",4100000,1000,1,1,3,3,0,172.72,72.1224,64,40,51,74,49,70,60,45,67,73,76,70,72,70,77,65,56,74,55,56,74,70,59,64,48,61,68,70,69,6,12,9,6,7
